Country,year_2000,year_2010,year_2020,year_2022
Iceland ,57008.0,54268.0,71687.0,79473.0
Luxembourg ,64217.0,71085.0,74839.0,78310.0
United States ,61132.0,67263.0,77567.0,77463.0
Switzerland ,60768.0,67961.0,69728.0,72993.0
Belgium ,60929.0,63295.0,63677.0,64848.0
Denmark ,52019.0,61537.0,66203.0,64127.0
Austria ,57529.0,62831.0,64648.0,63802.0
Netherlands ,60063.0,66270.0,67163.0,63225.0
Australia ,48213.0,55536.0,60377.0,59408.0
Canada ,46526.0,52457.0,59160.0,59050.0
Germany ,51344.0,52912.0,60309.0,58940.0
United Kingdom ,44967.0,52455.0,53612.0,53985.0
Norway ,36444.0,47531.0,52415.0,53756.0
France ,43694.0,49926.0,50550.0,52764.0
Ireland ,37874.0,52793.0,53651.0,52243.0
Finland ,43073.0,49911.0,51092.0,51836.0
New Zealand ,36452.0,44476.0,51417.0,50722.0
Sweden ,37651.0,45337.0,51214.0,50407.0
South Korea ,32243.0,39730.0,48294.0,48922.0
Slovenia ,33203.0,42846.0,48605.0,47204.0
Italy ,45290.0,47629.0,44246.0,44893.0
Israel ,37782.0,34993.0,42130.0,44156.0
Lithuania ,17102.0,28340.0,44228.0,43875.0
Spain ,43029.0,46538.0,43828.0,42859.0
Japan ,41428.0,40999.0,41442.0,41509.0
Poland ,23770.0,28091.0,37325.0,36897.0
Estonia ,14254.0,24461.0,35128.0,34705.0
Latvia ,13407.0,22140.0,33199.0,34136.0
Czech Republic ,20070.0,28648.0,35552.0,33476.0
Turkey ,,22847.0,31761.0,
Chile ,20515.0,27871.0,31369.0,
Costa Rica ,18160.0,21062.0,31341.0,
Portugal ,30975.0,31589.0,31300.0,31922.0
Hungary ,17969.0,24005.0,27588.0,28475.0
Slovakia ,16381.0,22642.0,27052.0,26263.0
Greece ,29797.0,35454.0,27747.0,25979.0
Colombia ,,19800.0,24681.0,
Mexico ,17311.0,17618.0,17467.0,16685.0
